id,name,popdensity5km,logpopdensity,region,2022party
CED101,Banks,2830.32,11.47,NSW,Lib
CED102,Barton,3946.39,11.95,NSW,ALP
CED103,Bennelong,2962.59,11.53,NSW,ALP
CED104,Berowra,934.83,9.87,NSW,Lib
CED105,Blaxland,3204.56,11.65,NSW,ALP
CED106,Bradfield,1825.46,10.83,NSW,Lib
CED107,Calare,58.00,5.86,NSW,Nat
CED108,Chifley,1752.78,10.78,NSW,ALP
CED109,Cook,1607.02,10.65,NSW,Lib
CED110,Cowper,126.45,6.98,NSW,Nat
CED111,Cunningham,612.96,9.26,NSW,ALP
CED112,Dobell,439.48,8.78,NSW,ALP
CED113,Eden-Monaro,38.33,5.26,NSW,ALP
CED114,Farrer,59.69,5.90,NSW,Lib
CED115,Fowler,2459.38,11.26,NSW,ALP
CED116,Gilmore,99.09,6.63,NSW,ALP
CED117,Grayndler,4983.08,12.28,NSW,ALP
CED118,Greenway,2061.93,11.01,NSW,ALP
CED119,Hughes,1298.61,10.34,NSW,Lib
CED120,Hume,124.72,6.96,NSW,Lib
CED121,Hunter,157.88,7.30,NSW,ALP
CED122,Kingsford Smith,3125.91,11.61,NSW,ALP
CED123,Lindsay,942.60,9.88,NSW,Lib
CED124,Lyne,49.86,5.64,NSW,Nat
CED125,Macarthur,912.81,9.83,NSW,ALP
CED126,Mackellar,946.23,9.89,NSW,Ind
CED127,Macquarie,164.14,7.36,NSW,ALP
CED128,McMahon,2272.47,11.15,NSW,ALP
CED129,Mitchell,2082.20,11.02,NSW,Lib
CED130,New England,37.11,5.21,NSW,Nat
CED131,Newcastle,1017.96,9.99,NSW,ALP
CED132,North Sydney,3336.50,11.70,NSW,Ind
CED133,Page,52.01,5.70,NSW,Nat
CED134,Parkes,25.51,4.67,NSW,Nat
CED135,Parramatta,3232.03,11.66,NSW,ALP
CED136,Paterson,229.78,7.84,NSW,ALP
CED137,Reid,3868.31,11.92,NSW,ALP
CED138,Richmond,154.90,7.28,NSW,ALP
CED139,Riverina,49.76,5.64,NSW,Nat
CED140,Robertson,486.67,8.93,NSW,ALP
CED141,Shortland,591.79,9.21,NSW,ALP
CED142,Sydney,5289.45,12.37,NSW,ALP
CED143,Warringah,2082.30,11.02,NSW,Ind
CED144,Watson,4178.59,12.03,NSW,ALP
CED145,Wentworth,3485.20,11.77,NSW,Ind
CED146,Werriwa,1586.59,10.63,NSW,ALP
CED147,Whitlam,372.15,8.54,NSW,ALP
CED201,Aston,1482.74,10.53,Vic.,Lib
CED202,Ballarat,187.18,7.55,Vic.,ALP
CED203,Bendigo,158.39,7.31,Vic.,ALP
CED204,Bruce,1480.90,10.53,Vic.,ALP
CED205,Calwell,1088.98,10.09,Vic.,ALP
CED206,Casey,357.26,8.48,Vic.,Lib
CED207,Chisholm,2472.53,11.27,Vic.,ALP
CED208,Cooper,3007.36,11.55,Vic.,ALP
CED209,Corangamite,219.44,7.78,Vic.,ALP
CED210,Corio,622.25,9.28,Vic.,ALP
CED211,Deakin,1697.79,10.73,Vic.,Lib
CED212,Dunkley,867.12,9.76,Vic.,ALP
CED213,Flinders,241.47,7.92,Vic.,Lib
CED214,Fraser,2109.82,11.04,Vic.,ALP
CED215,Gellibrand,1271.79,10.31,Vic.,ALP
CED216,Gippsland,53.79,5.75,Vic.,Nat
CED217,Goldstein,2250.19,11.14,Vic.,Ind
CED218,Gorton,1309.09,10.35,Vic.,ALP
CED219,Hawke,394.88,8.63,Vic.,ALP
CED220,Higgins,3728.06,11.86,Vic.,ALP
CED221,Holt,1251.00,10.29,Vic.,ALP
CED222,Hotham,2229.32,11.12,Vic.,ALP
CED223,Indi,41.61,5.38,Vic.,Ind
CED224,Isaacs,1292.08,10.34,Vic.,ALP
CED225,Jagajaga,1734.03,10.76,Vic.,ALP
CED226,Kooyong,3210.73,11.65,Vic.,Ind
CED227,La Trobe,434.52,8.76,Vic.,Lib
CED228,Lalor,1238.75,10.27,Vic.,ALP
CED229,Macnamara,3657.95,11.84,Vic.,ALP
CED230,Mallee,35.30,5.14,Vic.,Nat
CED231,Maribyrnong,2676.71,11.39,Vic.,ALP
CED232,McEwen,192.83,7.59,Vic.,ALP
CED233,Melbourne,4580.41,12.16,Vic.,Grn
CED234,Menzies,1893.52,10.89,Vic.,Lib
CED235,Monash,59.09,5.88,Vic.,Lib
CED236,Nicholls,61.68,5.95,Vic.,Nat
CED237,Scullin,1472.78,10.52,Vic.,ALP
CED238,Wannon,32.28,5.01,Vic.,Lib
CED239,Wills,3127.70,11.61,Vic.,ALP
CED301,Blair,280.15,8.13,Qld,ALP
CED302,Bonner,1217.06,10.25,Qld,LNP
CED303,Bowman,514.80,9.01,Qld,LNP
CED304,Brisbane,2685.52,11.39,Qld,Grn
CED305,Capricornia,84.56,6.40,Qld,LNP
CED306,Dawson,133.55,7.06,Qld,LNP
CED307,Dickson,743.52,9.54,Qld,LNP
CED308,Fadden,784.11,9.61,Qld,LNP
CED309,Fairfax,358.73,8.49,Qld,LNP
CED310,Fisher,355.41,8.47,Qld,LNP
CED311,Flynn,30.79,4.94,Qld,LNP
CED312,Forde,651.33,9.35,Qld,LNP
CED313,Griffith,2604.36,11.35,Qld,Grn
CED314,Groom,260.13,8.02,Qld,LNP
CED315,Herbert,415.61,8.70,Qld,LNP
CED316,Hinkler,166.28,7.38,Qld,LNP
CED317,Kennedy,30.61,4.94,Qld,KAP
CED318,Leichhardt,197.90,7.63,Qld,LNP
CED319,Lilley,1591.99,10.64,Qld,ALP
CED320,Longman,370.06,8.53,Qld,LNP
CED321,Maranoa,11.41,3.51,Qld,LNP
CED322,McPherson,862.98,9.75,Qld,LNP
CED323,Moncrieff,1168.30,10.19,Qld,LNP
CED324,Moreton,1791.86,10.81,Qld,ALP
CED325,Oxley,962.78,9.91,Qld,ALP
CED326,Petrie,935.89,9.87,Qld,LNP
CED327,Rankin,1198.49,10.23,Qld,ALP
CED328,Ryan,1394.20,10.45,Qld,Grn
CED329,Wide Bay,73.61,6.20,Qld,LNP
CED330,Wright,97.74,6.61,Qld,LNP
CED401,Adelaide,1920.91,10.91,SA,ALP
CED402,Barker,33.25,5.06,SA,Lib
CED403,Boothby,1420.14,10.47,SA,ALP
CED404,Grey,21.95,4.46,SA,Lib
CED405,Hindmarsh,1169.47,10.19,SA,ALP
CED406,Kingston,719.01,9.49,SA,ALP
CED407,Makin,1253.10,10.29,SA,ALP
CED408,Mayo,95.97,6.58,SA,CA
CED409,Spence,652.25,9.35,SA,ALP
CED410,Sturt,1652.03,10.69,SA,Lib
CED501,Brand,506.88,8.99,WA,ALP
CED502,Burt,975.68,9.93,WA,ALP
CED503,Canning,224.44,7.81,WA,Lib
CED504,Cowan,1611.77,10.65,WA,ALP
CED505,Curtin,1354.29,10.40,WA,Ind
CED506,Durack,19.37,4.28,WA,Lib
CED507,Forrest,109.20,6.77,WA,Lib
CED508,Fremantle,916.66,9.84,WA,ALP
CED509,Pearce,637.68,9.32,WA,ALP
CED509,Hasluck,392.61,8.62,WA,ALP
CED510,Moore,1116.43,10.12,WA,Lib
CED511,O'Connor,20.69,4.37,WA,Lib
CED513,Perth,1934.84,10.92,WA,ALP
CED514,Swan,1346.95,10.40,WA,ALP
CED515,Tangney,1465.75,10.52,WA,ALP
CED601,Bass,161.51,7.34,Tas.,Lib
CED602,Braddon,69.63,6.12,Tas.,Lib
CED603,Clark,528.68,9.05,Tas.,Ind
CED604,Franklin,145.62,7.19,Tas.,ALP
CED605,Lyons,28.17,4.82,Tas.,ALP
CED701,Lingiari,23.29,4.54,NT,ALP
CED702,Solomon,417.61,8.71,NT,ALP
CED801,Bean,645.83,9.34,ACT,ALP
CED802,Canberra,817.54,9.68,ACT,ALP
CED803,Fenner,829.34,9.70,ACT,ALP
